"","","","/表章項目","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】"
"","","","/性別","総数","総数","総数","男","男","男","女","女","女"
"国籍","時間軸（年次）","地域","/年齢","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳"
"日本人移動者","2021年","不破郡","","1","-87","-65","-2","-34","-21","3","-53","-44"
"日本人移動者","2021年","安八郡","","-10","-74","-52","-2","-25","-42","-8","-49","-10"
"日本人移動者","2021年","揖斐郡","","-58","-219","-164","-34","-103","-69","-24","-116","-95"
"日本人移動者","2021年","本巣郡","","-2","-21","19","-3","-6","-1","1","-15","20"
"日本人移動者","2021年","加茂郡","","-50","-110","-71","-26","-66","-44","-24","-44","-27"
"日本人移動者","2021年","可児郡","","-9","-36","-11","-9","-8","3","0","-28","-14"
"日本人移動者","2021年","大野郡","","-7","-1","0","0","-3","1","-7","2","-1"
"日本人移動者","2021年","静岡県市部","","-2,312","-2,454","-603","-1,207","-680","-463","-1,105","-1,774","-140"
"日本人移動者","2021年","静岡県郡部","","-265","-341","-1","-137","-168","-12","-128","-173","11"
"日本人移動者","2021年","静岡市","","-110","-155","-146","-63","-74","-98","-47","-81","-48"
"日本人移動者","2021年","浜松市","","-564","-35","67","-358","118","-14","-206","-153","81"
"日本人移動者","2021年","沼津市","","-153","-119","-116","-78","0","-83","-75","-119","-33"
"日本人移動者","2021年","熱海市","","-41","-85","-48","-16","-35","-32","-25","-50","-16"
"日本人移動者","2021年","三島市","","-69","-168","6","-42","-48","4","-27","-120","2"
"日本人移動者","2021年","富士宮市","","-150","-128","-56","-103","9","10","-47","-137","-66"
"日本人移動者","2021年","伊東市","","-115","-70","-21","-51","-53","4","-64","-17","-25"
"日本人移動者","2021年","島田市","","-80","-101","4","-40","-49","-8","-40","-52","12"
"日本人移動者","2021年","富士市","","-241","-320","7","-118","-104","13","-123","-216","-6"
"日本人移動者","2021年","磐田市","","-103","-90","-98","-41","29","-94","-62","-119","-4"
"日本人移動者","2021年","焼津市","","-108","-198","-43","-50","-106","-33","-58","-92","-10"
"日本人移動者","2021年","掛川市","","-86","-90","45","-56","-32","6","-30","-58","39"
"日本人移動者","2021年","藤枝市","","-148","-187","56","-74","-47","31","-74","-140","25"
"日本人移動者","2021年","御殿場市","","7","-115","5","46","-66","-4","-39","-49","9"
"日本人移動者","2021年","袋井市","","-70","14","44","-34","22","31","-36","-8","13"
"日本人移動者","2021年","下田市","","-43","-53","-19","-21","-26","-13","-22","-27","-6"
"日本人移動者","2021年","裾野市","","-34","-103","-79","6","-64","-97","-40","-39","18"
"日本人移動者","2021年","湖西市","","-40","-81","-36","-23","-7","-38","-17","-74","2"
"日本人移動者","2021年","伊豆市","","-36","-92","-24","-18","-42","0","-18","-50","-24"
"日本人移動者","2021年","御前崎市","","-27","-78","-55","-13","-22","-32","-14","-56","-23"
"日本人移動者","2021年","菊川市","","-32","-69","39","-15","-35","34","-17","-34","5"
"日本人移動者","2021年","伊豆の国市","","-50","-45","-41","-34","-37","1","-16","-8","-42"
"日本人移動者","2021年","牧之原市","","-19","-86","-94","-11","-11","-51","-8","-75","-43"
"日本人移動者","2021年","賀茂郡","","-83","-98","-10","-44","-44","-10","-39","-54","0"
"日本人移動者","2021年","田方郡","","-41","-67","-12","-27","-34","-13","-14","-33","1"
"日本人移動者","2021年","駿東郡","","-57","-112","84","-25","-52","37","-32","-60","47"
"日本人移動者","2021年","榛原郡","","-60","-26","-32","-30","-19","-8","-30","-7","-24"
"日本人移動者","2021年","周智郡","","-24","-38","-31","-11","-19","-18","-13","-19","-13"
"日本人移動者","2021年","愛知県市部","","973","3,418","-717","867","2,249","-843","106","1,169","126"
"日本人移動者","2021年","愛知県郡部","","-124","-418","23","-88","-179","-39","-36","-239","62"
"日本人移動者","2021年","名古屋市","","829","6,287","1,089","350","3,174","601","479","3,113","488"
"日本人移動者","2021年","豊橋市","","-156","-256","-194","-85","-68","-125","-71","-188","-69"
"日本人移動者","2021年","岡崎市","","-156","164","-23","-83","147","-15","-73","17","-8"
"日本人移動者","2021年","一宮市","","-163","-437","-228","-116","-244","-130","-47","-193","-98"
"日本人移動者","2021年","瀬戸市","","-28","-217","-14","-12","-122","-14","-16","-95","0"
"日本人移動者","2021年","半田市","","-31","-96","-190","-9","-16","-114","-22","-80","-76"
"日本人移動者","2021年","春日井市","","35","-123","68","21","-26","93","14","-97","-25"
"日本人移動者","2021年","豊川市","","17","-69","130","30","4","51","-13","-73","79"
"日本人移動者","2021年","津島市","","-26","-124","-122","-12","-53","-53","-14","-71","-69"
"日本人移動者","2021年","碧南市","","7","-73","13","16","-55","-4","-9","-18","17"
"日本人移動者","2021年","刈谷市","","205","171","-75","193","111","-170","12","60","95"
"日本人移動者","2021年","豊田市","","533","-361","-897","464","-192","-664","69","-169","-233"
"日本人移動者","2021年","安城市","","-71","-76","-43","-42","-4","-23","-29","-72","-20"
"日本人移動者","2021年","西尾市","","20","-236","-87","39","-100","-83","-19","-136","-4"
"日本人移動者","2021年","蒲郡市","","-36","-32","-31","-16","-15","2","-20","-17","-33"
"日本人移動者","2021年","犬山市","","3","-111","-74","0","-48","-44","3","-63","-30"
"日本人移動者","2021年","常滑市","","-12","-76","-64","-3","-18","-8","-9","-58","-56"
"日本人移動者","2021年","江南市","","-30","-161","19","-15","-70","21","-15","-91","-2"
"日本人移動者","2021年","小牧市","","34","-115","-243","33","-52","-147","1","-63","-96"
"日本人移動者","2021年","稲沢市","","-26","-99","-33","-24","-30","-66","-2","-69","33"
"日本人移動者","2021年","新城市","","-53","-125","-86","-29","-48","-35","-24","-77","-51"
"日本人移動者","2021年","東海市","","62","-71","-115","76","-21","-137","-14","-50","22"
"日本人移動者","2021年","大府市","","77","30","-52","78","30","-79","-1","0","27"
"日本人移動者","2021年","知多市","","-16","-111","-138","0","-54","-84","-16","-57","-54"
"日本人移動者","2021年","知立市","","-7","122","10","-11","105","-24","4","17","34"
"日本人移動者","2021年","尾張旭市","","-15","-171","84","-11","-119","39","-4","-52","45"
"日本人移動者","2021年","高浜市","","26","45","59","36","48","44","-10","-3","15"
"日本人移動者","2021年","岩倉市","","-8","19","49","-3","7","32","-5","12","17"
"日本人移動者","2021年","豊明市","","3","-37","5","2","-8","-1","1","-29","6"
"日本人移動者","2021年","日進市","","-21","-6","211","-8","35","93","-13","-41","118"
"日本人移動者","2021年","田原市","","26","-116","-85","37","-46","-32","-11","-70","-53"
"日本人移動者","2021年","愛西市","","-31","-158","-92","-26","-84","-56","-5","-74","-36"
"日本人移動者","2021年","清須市","","3","127","120","9","96","89","-6","31","31"
"日本人移動者","2021年","北名古屋市","","-14","73","141","-9","68","81","-5","5","60"
"日本人移動者","2021年","弥富市","","12","-14","-5","12","-2","3","0","-12","-8"
"日本人移動者","2021年","みよし市","","-65","-114","61","-29","-54","23","-36","-60","38"
"日本人移動者","2021年","あま市","","-35","-70","101","-22","-44","89","-13","-26","12"
"日本人移動者","2021年","長久手市","","81","35","14","36","17","4","45","18","10"
"日本人移動者","2021年","愛知郡","","-22","-83","-7","-14","-57","-2","-8","-26","-5"
"日本人移動者","2021年","西春日井郡","","-12","54","-7","-4","39","0","-8","15","-7"
"日本人移動者","2021年","丹羽郡","","5","-24","28","4","0","-7","1","-24","35"
"日本人移動者","2021年","海部郡","","-19","-68","42","-20","-27","26","1","-41","16"
"日本人移動者","2021年","知多郡","","-30","-293","-89","-15","-135","-78","-15","-158","-11"
"日本人移動者","2021年","額田郡","","-26","9","64","-25","0","28","-1","9","36"
"日本人移動者","2021年","北設楽郡","","-20","-13","-8","-14","1","-6","-6","-14","-2"
"日本人移動者","2021年","三重県市部","","-567","-1,406","-567","-276","-534","-179","-291","-872","-388"
"日本人移動者","2021年","三重県郡部","","-253","-372","34","-145","-114","32","-108","-258","2"
"日本人移動者","2021年","津市","","5","-199","-54","17","-139","-26","-12","-60","-28"
"日本人移動者","2021年","四日市市","","-157","304","128","-105","309","109","-52","-5","19"
"日本人移動者","2021年","伊勢市","","-49","-280","-61","-19","-158","-29","-30","-122","-32"
"日本人移動者","2021年","松阪市","","-154","-133","5","-98","-48","19","-56","-85","-14"
"日本人移動者","2021年","桑名市","","-8","-235","-115","-28","-127","-47","20","-108","-68"
"日本人移動者","2021年","鈴鹿市","","-59","-180","-199","-22","-27","-84","-37","-153","-115"
"日本人移動者","2021年","名張市","","-36","-197","-48","-13","-115","-5","-23","-82","-43"
"日本人移動者","2021年","尾鷲市","","-29","-42","-17","-24","-20","-9","-5","-22","-8"
"日本人移動者","2021年","亀山市","","-24","-7","58","-3","17","34","-21","-24","24"
"日本人移動者","2021年","鳥羽市","","-4","-48","-41","-2","-29","-15","-2","-19","-26"
"日本人移動者","2021年","熊野市","","-17","-18","-11","-11","-11","-13","-6","-7","2"
"日本人移動者","2021年","いなべ市","","79","-153","-8","86","-87","-13","-7","-66","5"
"日本人移動者","2021年","志摩市","","-77","-98","-75","-48","-40","-25","-29","-58","-50"
"日本人移動者","2021年","伊賀市","","-37","-120","-129","-6","-59","-75","-31","-61","-54"
"日本人移動者","2021年","桑名郡","","-5","-18","-15","-3","-9","-7","-2","-9","-8"
"日本人移動者","2021年","員弁郡","","-16","-35","-6","-12","-10","-10","-4","-25","4"
"日本人移動者","2021年","三重郡","","-57","5","85","-39","37","58","-18","-32","27"
"日本人移動者","2021年","多気郡","","-39","-103","3","-27","-48","-1","-12","-55","4"
"日本人移動者","2021年","度会郡","","-60","-115","-39","-21","-33","-12","-39","-82","-27"
"日本人移動者","2021年","北牟婁郡","","-30","-52","-19","-21","-25","-8","-9","-27","-11"
"日本人移動者","2021年","南牟婁郡","","-46","-54","25","-22","-26","12","-24","-28","13"
"日本人移動者","2021年","滋賀県市部","","36","-1,520","69","28","-821","1","8","-699","68"
"日本人移動者","2021年","滋賀県郡部","","40","-118","-134","71","-27","-101","-31","-91","-33"
"日本人移動者","2021年","大津市","","12","-671","99","0","-426","75","12","-245","24"
"日本人移動者","2021年","彦根市","","70","-53","10","35","-5","19","35","-48","-9"
"日本人移動者","2021年","長浜市","","-66","-231","-58","-38","-86","-10","-28","-145","-48"
"日本人移動者","2021年","近江八幡市","","-20","-66","27","-20","-19","9","0","-47","18"
"日本人移動者","2021年","草津市","","229","139","104","182","4","36","47","135","68"
"日本人移動者","2021年","守山市","","-34","-92","106","-24","-38","15","-10","-54","91"
"日本人移動者","2021年","栗東市","","-26","57","227","-24","19","131","-2","38","96"
"日本人移動者","2021年","甲賀市","","-35","-109","-121","-18","-42","-70","-17","-67","-51"
"日本人移動者","2021年","野洲市","","-21","-27","-58","-19","7","-46","-2","-34","-12"
"日本人移動者","2021年","湖南市","","-7","-73","-62","6","-35","-26","-13","-38","-36"
"日本人移動者","2021年","高島市","","-8","-142","-77","-4","-83","-54","-4","-59","-23"
"日本人移動者","2021年","東近江市","","-35","-117","-97","-31","-54","-72","-4","-63","-25"
"日本人移動者","2021年","米原市","","-23","-135","-31","-17","-63","-6","-6","-72","-25"
"日本人移動者","2021年","蒲生郡","","57","-90","-69","74","-36","-57","-17","-54","-12"
"日本人移動者","2021年","愛知郡","","-14","18","-32","-6","27","-29","-8","-9","-3"
"日本人移動者","2021年","犬上郡","","-3","-46","-33","3","-18","-15","-6","-28","-18"
"日本人移動者","2021年","京都府市部","","2,624","-1,262","-1,871","1,507","-1,060","-1,039","1,117","-202","-832"
"日本人移動者","2021年","京都府郡部","","-117","-416","-79","-59","-232","-47","-58","-184","-32"
"日本人移動者","2021年","京都市","","2,287","859","-1,412","1,208","69","-712","1,079","790","-700"
"日本人移動者","2021年","福知山市","","18","-138","24","37","-44","0","-19","-94","24"
"日本人移動者","2021年","舞鶴市","","117","-403","-64","137","-253","-59","-20","-150","-5"
"日本人移動者","2021年","綾部市","","-37","-55","-11","-22","-12","8","-15","-43","-19"
"日本人移動者","2021年","宇治市","","133","-404","-372","82","-258","-244","51","-146","-128"
"日本人移動者","2021年","宮津市","","-20","-52","-38","-11","-19","-27","-9","-33","-11"
"日本人移動者","2021年","亀岡市","","2","-201","-34","-2","-109","-10","4","-92","-24"
"日本人移動者","2021年","城陽市","","0","-98","1","3","-49","9","-3","-49","-8"
"日本人移動者","2021年","向日市","","-21","-57","22","-8","-43","10","-13","-14","12"
"日本人移動者","2021年","長岡京市","","21","-69","39","5","-10","-14","16","-59","53"
"日本人移動者","2021年","八幡市","","-8","-93","-12","-3","-39","0","-5","-54","-12"
"日本人移動者","2021年","京田辺市","","137","-147","-63","82","-66","-38","55","-81","-25"
"日本人移動者","2021年","京丹後市","","-77","-178","3","-49","-84","4","-28","-94","-1"
"日本人移動者","2021年","南丹市","","58","-110","-10","38","-45","3","20","-65","-13"
"日本人移動者","2021年","木津川市","","14","-116","56","10","-98","31","4","-18","25"
"日本人移動者","2021年","乙訓郡","","8","-5","60","5","-21","47","3","16","13"
"日本人移動者","2021年","久世郡","","-29","-18","-10","-16","-3","-11","-13","-15","1"
"日本人移動者","2021年","綴喜郡","","-18","-61","-27","-10","-43","-14","-8","-18","-13"
"日本人移動者","2021年","相楽郡","","-29","-170","-58","-13","-93","-43","-16","-77","-15"
"日本人移動者","2021年","船井郡","","-12","-37","-20","-5","-19","-8","-7","-18","-12"
"日本人移動者","2021年","与謝郡","","-37","-125","-24","-20","-53","-18","-17","-72","-6"
"日本人移動者","2021年","大阪府市部","","3,002","7,797","1,595","1,226","2,672","642","1,776","5,125","953"
"日本人移動者","2021年","大阪府郡部","","22","-594","-294","25","-338","-152","-3","-256","-142"
"日本人移動者","2021年","大阪市","","1,571","12,773","3,533","580","5,850","1,753","991","6,923","1,780"
"日本人移動者","2021年","堺市","","28","-176","4","-2","-168","-84","30","-8","88"
"日本人移動者","2021年","岸和田市","","-60","-276","-225","-35","-164","-86","-25","-112","-139"
"日本人移動者","2021年","豊中市","","62","-147","138","41","-156","83","21","9","55"
"日本人移動者","2021年","池田市","","79","17","-27","54","15","-22","25","2","-5"
"日本人移動者","2021年","吹田市","","336","429","568","155","69","154","181","360","414"
"日本人移動者","2021年","泉大津市","","1","-179","3","5","-54","24","-4","-125","-21"
"日本人移動者","2021年","高槻市","","72","-139","-65","18","-142","-29","54","3","-36"
"日本人移動者","2021年","貝塚市","","-28","-245","-191","-10","-128","-109","-18","-117","-82"
"日本人移動者","2021年","守口市","","50","72","-23","8","14","3","42","58","-26"
"日本人移動者","2021年","枚方市","","107","-631","-260","14","-353","-167","93","-278","-93"
"日本人移動者","2021年","茨木市","","131","-127","219","61","-131","124","70","4","95"
"日本人移動者","2021年","八尾市","","40","-294","-127","13","-151","-85","27","-143","-42"
"日本人移動者","2021年","泉佐野市","","67","-199","-277","29","-54","-96","38","-145","-181"
"日本人移動者","2021年","富田林市","","40","-357","-252","18","-214","-123","22","-143","-129"
"日本人移動者","2021年","寝屋川市","","53","-169","-31","17","-128","18","36","-41","-49"
"日本人移動者","2021年","河内長野市","","-41","-351","-140","-25","-177","-79","-16","-174","-61"
"日本人移動者","2021年","松原市","","25","-113","-148","-7","-60","-53","32","-53","-95"
"日本人移動者","2021年","大東市","","70","-204","-143","65","-120","-61","5","-84","-82"
"日本人移動者","2021年","和泉市","","27","-461","-154","28","-257","-80","-1","-204","-74"
"日本人移動者","2021年","箕面市","","94","-215","-180","54","-101","-129","40","-114","-51"
"日本人移動者","2021年","柏原市","","27","-149","-97","2","-83","-54","25","-66","-43"
"日本人移動者","2021年","羽曳野市","","29","-135","-111","4","-63","-38","25","-72","-73"
"日本人移動者","2021年","門真市","","6","37","-19","0","46","6","6","-9","-25"
"日本人移動者","2021年","摂津市","","34","56","202","13","16","83","21","40","119"
"日本人移動者","2021年","高石市","","3","-67","-10","22","-22","-28","-19","-45","18"
"日本人移動者","2021年","藤井寺市","","9","-78","-94","1","-56","-67","8","-22","-27"
"日本人移動者","2021年","東大阪市","","225","-51","-131","122","-98","-29","103","47","-102"
"日本人移動者","2021年","泉南市","","-48","-185","-87","-28","-91","-42","-20","-94","-45"
"日本人移動者","2021年","四條畷市","","-17","-112","-47","-2","-78","-35","-15","-34","-12"
"日本人移動者","2021年","交野市","","-11","-207","-50","-18","-111","-11","7","-96","-39"
"日本人移動者","2021年","大阪狭山市","","27","-135","-71","35","-85","-42","-8","-50","-29"
"日本人移動者","2021年","阪南市","","-6","-185","-112","-6","-93","-57","0","-92","-55"
"日本人移動者","2021年","三島郡","","-23","-32","-44","-14","-11","-14","-9","-21","-30"
"日本人移動者","2021年","豊能郡","","-28","-117","-80","-12","-41","-47","-16","-76","-33"
"日本人移動者","2021年","泉北郡","","9","-8","-46","6","-13","-26","3","5","-20"
"日本人移動者","2021年","泉南郡","","29","-314","-85","30","-217","-45","-1","-97","-40"
"日本人移動者","2021年","南河内郡","","35","-123","-39","15","-56","-20","20","-67","-19"
"日本人移動者","2021年","兵庫県市部","","360","-5,086","-1,814","73","-3,165","-1,105","287","-1,921","-709"
"日本人移動者","2021年","兵庫県郡部","","-192","-820","-242","-85","-421","-154","-107","-399","-88"
"日本人移動者","2021年","神戸市","","520","-244","-580","254","-417","-230","266","173","-350"
"日本人移動者","2021年","姫路市","","-118","-433","-251","-65","-132","-186","-53","-301","-65"
"日本人移動者","2021年","尼崎市","","65","569","352","49","277","167","16","292","185"
"日本人移動者","2021年","明石市","","-83","-104","264","-56","-85","102","-27","-19","162"
"日本人移動者","2021年","西宮市","","277","-592","12","150","-550","-40","127","-42","52"
"日本人移動者","2021年","洲本市","","-12","-23","-36","-10","-35","0","-2","12","-36"
"日本人移動者","2021年","芦屋市","","22","-68","-150","-11","-50","-105","33","-18","-45"
"日本人移動者","2021年","伊丹市","","104","-262","97","94","-136","-15","10","-126","112"
"日本人移動者","2021年","相生市","","-17","-68","-12","-5","-42","5","-12","-26","-17"
"日本人移動者","2021年","豊岡市","","-63","-260","-25","-69","-122","-26","6","-138","1"
"日本人移動者","2021年","加古川市","","16","-507","-65","30","-291","-79","-14","-216","14"
"日本人移動者","2021年","赤穂市","","-4","-154","-82","-3","-63","-29","-1","-91","-53"
"日本人移動者","2021年","西脇市","","-32","-128","-17","-22","-64","-12","-10","-64","-5"
"日本人移動者","2021年","宝塚市","","12","-501","-260","-37","-260","-94","49","-241","-166"
"日本人移動者","2021年","三木市","","-27","-175","-117","-17","-80","-49","-10","-95","-68"
"日本人移動者","2021年","高砂市","","-25","-112","-151","1","-53","-106","-26","-59","-45"
"日本人移動者","2021年","川西市","","6","-218","-15","-23","-173","-20","29","-45","5"
"日本人移動者","2021年","小野市","","-16","-125","-13","-6","-53","7","-10","-72","-20"
"日本人移動者","2021年","三田市","","35","-418","-386","32","-222","-191","3","-196","-195"
"日本人移動者","2021年","加西市","","-28","-73","-86","-24","-24","-46","-4","-49","-40"
"日本人移動者","2021年","丹波篠山市","","-43","-107","-22","-34","-60","-12","-9","-47","-10"
"日本人移動者","2021年","養父市","","-20","-79","-2","-10","-51","-6","-10","-28","4"
"日本人移動者","2021年","丹波市","","-62","-158","-34","-36","-67","-12","-26","-91","-22"
"日本人移動者","2021年","南あわじ市","","-9","-189","-15","-6","-86","-2","-3","-103","-13"
"日本人移動者","2021年","朝来市","","-41","-89","-41","-25","-45","-5","-16","-44","-36"
"日本人移動者","2021年","淡路市","","-36","-68","12","-32","-36","5","-4","-32","7"
"日本人移動者","2021年","宍粟市","","-42","-166","-60","-24","-81","-27","-18","-85","-33"
"日本人移動者","2021年","加東市","","18","-117","-18","9","-48","-24","9","-69","6"
"日本人移動者","2021年","たつの市","","-37","-217","-113","-31","-116","-75","-6","-101","-38"
"日本人移動者","2021年","川辺郡","","-52","-150","-56","-22","-89","-29","-30","-61","-27"
"日本人移動者","2021年","多可郡","","-29","-113","-45","-17","-49","-30","-12","-64","-15"
"日本人移動者","2021年","加古郡","","7","-121","47","16","-76","10","-9","-45","37"
"日本人移動者","2021年","神崎郡","","-33","-135","-63","-16","-68","-40","-17","-67","-23"
"日本人移動者","2021年","揖保郡","","-24","-30","-34","-17","-9","-16","-7","-21","-18"
"日本人移動者","2021年","赤穂郡","","-16","-46","-29","-3","-25","-13","-13","-21","-16"
"日本人移動者","2021年","佐用郡","","-17","-68","-29","-11","-42","-14","-6","-26","-15"
"日本人移動者","2021年","美方郡","","-28","-157","-33","-15","-63","-22","-13","-94","-11"
"日本人移動者","2021年","奈良県市部","","-21","-2,076","-1,041","-71","-1,186","-437","50","-890","-604"
"日本人移動者","2021年","奈良県郡部","","-76","-536","-237","-74","-251","-115","-2","-285","-122"
"日本人移動者","2021年","奈良市","","118","-624","-225","6","-349","-102","112","-275","-123"
"日本人移動者","2021年","大和高田市","","-15","-82","-105","-10","-52","-36","-5","-30","-69"
"日本人移動者","2021年","大和郡山市","","-7","-130","-80","-7","-84","-41","0","-46","-39"
"日本人移動者","2021年","天理市","","30","-306","-204","38","-149","-92","-8","-157","-112"
"日本人移動者","2021年","橿原市","","-3","-103","-58","-19","-99","18","16","-4","-76"
"日本人移動者","2021年","桜井市","","-14","-74","-39","-10","-61","-19","-4","-13","-20"
"日本人移動者","2021年","五條市","","-23","-119","-74","-2","-66","-26","-21","-53","-48"
"日本人移動者","2021年","御所市","","-16","-66","-53","-15","-35","-23","-1","-31","-30"
"日本人移動者","2021年","生駒市","","-29","-262","-159","-16","-126","-77","-13","-136","-82"
"日本人移動者","2021年","香芝市","","-18","-171","-37","-9","-98","-20","-9","-73","-17"
"日本人移動者","2021年","葛城市","","-17","-69","58","-10","-40","13","-7","-29","45"
"日本人移動者","2021年","宇陀市","","-27","-70","-65","-17","-27","-32","-10","-43","-33"
"日本人移動者","2021年","山辺郡","","0","-8","-1","-1","-1","2","1","-7","-3"
"日本人移動者","2021年","生駒郡","","-5","-136","-44","-11","-54","-14","6","-82","-30"
"日本人移動者","2021年","磯城郡","","-3","-24","20","-3","-17","9","0","-7","11"
"日本人移動者","2021年","宇陀郡","","-1","-4","-8","1","0","-1","-2","-4","-7"
"日本人移動者","2021年","高市郡","","-13","-37","-28","-5","-24","-8","-8","-13","-20"
"日本人移動者","2021年","北葛城郡","","-24","-220","-80","-31","-123","-51","7","-97","-29"
"日本人移動者","2021年","吉野郡","","-30","-107","-96","-24","-32","-52","-6","-75","-44"
"日本人移動者","2021年","和歌山県市部","","-368","-1,076","-433","-174","-516","-202","-194","-560","-231"
"日本人移動者","2021年","和歌山県郡部","","-126","-454","-106","-57","-187","-55","-69","-267","-51"
"日本人移動者","2021年","和歌山市","","-109","-150","-60","-64","-81","-23","-45","-69","-37"
"日本人移動者","2021年","海南市","","-37","-134","-40","-6","-88","-21","-31","-46","-19"
"日本人移動者","2021年","橋本市","","-21","-192","-106","-12","-94","-48","-9","-98","-58"
"日本人移動者","2021年","有田市","","-36","-92","-77","-22","-35","-30","-14","-57","-47"
"日本人移動者","2021年","御坊市","","-11","-23","-63","-2","-15","-17","-9","-8","-46"
"日本人移動者","2021年","田辺市","","-84","-209","-57","-37","-81","-40","-47","-128","-17"
"日本人移動者","2021年","新宮市","","-37","-52","-15","-7","-25","-10","-30","-27","-5"
"日本人移動者","2021年","紀の川市","","-28","-133","-47","-12","-57","-34","-16","-76","-13"
"日本人移動者","2021年","岩出市","","-5","-91","32","-12","-40","21","7","-51","11"
"日本人移動者","2021年","海草郡","","-12","-38","-12","-7","-19","-6","-5","-19","-6"
"日本人移動者","2021年","伊都郡","","16","-45","-54","17","-17","-39","-1","-28","-15"
"日本人移動者","2021年","有田郡","","-30","-104","-12","-14","-48","1","-16","-56","-13"
"日本人移動者","2021年","日高郡","","-34","-129","-46","-15","-53","-13","-19","-76","-33"
"日本人移動者","2021年","西牟婁郡","","-22","-53","25","-15","-21","11","-7","-32","14"
"日本人移動者","2021年","東牟婁郡","","-44","-85","-7","-23","-29","-9","-21","-56","2"
"日本人移動者","2021年","鳥取県市部","","-53","-606","-76","-8","-299","-78","-45","-307","2"
"日本人移動者","2021年","鳥取県郡部","","-239","-334","-115","-161","-129","-70","-78","-205","-45"
"日本人移動者","2021年","鳥取市","","14","-358","-80","17","-191","-81","-3","-167","1"
"日本人移動者","2021年","米子市","","-31","-114","44","-13","-50","38","-18","-64","6"
"日本人移動者","2021年","倉吉市","","-40","-48","-16","-28","-8","0","-12","-40","-16"
"日本人移動者","2021年","境港市","","4","-86","-24","16","-50","-35","-12","-36","11"
"日本人移動者","2021年","岩美郡","","-12","-19","-12","-13","-3","-1","1","-16","-11"
"日本人移動者","2021年","八頭郡","","-49","-79","-30","-40","-36","-25","-9","-43","-5"
"日本人移動者","2021年","東伯郡","","-86","-132","-36","-51","-58","-20","-35","-74","-16"
"日本人移動者","2021年","西伯郡","","-79","-91","-9","-50","-24","-7","-29","-67","-2"
"日本人移動者","2021年","日野郡","","-13","-13","-28","-7","-8","-17","-6","-5","-11"
"日本人移動者","2021年","島根県市部","","-548","-963","-6","-268","-484","4","-280","-479","-10"
"日本人移動者","2021年","島根県郡部","","-30","-184","-25","-4","-101","-12","-26","-83","-13"
"日本人移動者","2021年","松江市","","-11","-321","-41","15","-177","-31","-26","-144","-10"
"日本人移動者","2021年","浜田市","","-27","-175","-4","-10","-100","-5","-17","-75","1"
"日本人移動者","2021年","出雲市","","-121","-77","142","-53","-44","82","-68","-33","60"
"日本人移動者","2021年","益田市","","-95","-56","-8","-66","-8","8","-29","-48","-16"
"日本人移動者","2021年","大田市","","-68","-83","6","-33","-39","-4","-35","-44","10"
"日本人移動者","2021年","安来市","","-72","-83","-32","-34","-34","-16","-38","-49","-16"
"日本人移動者","2021年","江津市","","-97","-70","-17","-56","-27","-10","-41","-43","-7"
"日本人移動者","2021年","雲南市","","-57","-98","-52","-31","-55","-20","-26","-43","-32"
"日本人移動者","2021年","仁多郡","","34","-82","-19","28","-51","-11","6","-31","-8"
"日本人移動者","2021年","飯石郡","","6","-16","3","4","-10","0","2","-6","3"
"日本人移動者","2021年","邑智郡","","-32","-30","-8","-24","-20","3","-8","-10","-11"
"日本人移動者","2021年","鹿足郡","","-16","-29","-19","-5","-14","-9","-11","-15","-10"
"日本人移動者","2021年","隠岐郡","","-22","-27","18","-7","-6","5","-15","-21","13"
"日本人移動者","2021年","岡山県市部","","-172","-1,322","-895","-185","-694","-302","13","-628","-593"
"日本人移動者","2021年","岡山県郡部","","-75","-295","-104","-38","-122","-45","-37","-173","-59"
"日本人移動者","2021年","岡山市","","176","140","-389","55","-51","-104","121","191","-285"
"日本人移動者","2021年","倉敷市","","-82","-137","-28","-83","-2","60","1","-135","-88"
"日本人移動者","2021年","津山市","","-85","-145","-106","-68","-80","-46","-17","-65","-60"
"日本人移動者","2021年","玉野市","","-42","-108","-93","-13","-57","-50","-29","-51","-43"
"日本人移動者","2021年","笠岡市","","-33","-147","-71","-14","-65","-49","-19","-82","-22"
"日本人移動者","2021年","井原市","","-24","-101","-36","-17","-42","-22","-7","-59","-14"
"日本人移動者","2021年","総社市","","19","-63","32","-4","-35","17","23","-28","15"
"日本人移動者","2021年","高梁市","","26","-185","-61","27","-104","-37","-1","-81","-24"
"日本人移動者","2021年","新見市","","14","-60","-11","-18","-29","-14","32","-31","3"
"日本人移動者","2021年","備前市","","-33","-62","-54","-17","-18","-24","-16","-44","-30"
"日本人移動者","2021年","瀬戸内市","","-9","-75","-18","-1","-36","3","-8","-39","-21"
"日本人移動者","2021年","赤磐市","","-35","-103","-1","-24","-43","-8","-11","-60","7"
"日本人移動者","2021年","真庭市","","-35","-169","-58","-7","-76","-37","-28","-93","-21"
"日本人移動者","2021年","美作市","","-9","-69","3","3","-34","6","-12","-35","-3"
"日本人移動者","2021年","浅口市","","-20","-38","-4","-4","-22","3","-16","-16","-7"
