"","","","/表章項目","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】"
"","","","/性別","総数","総数","総数","男","男","男","女","女","女"
"国籍","時間軸（年次）","地域","/年齢","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳"
"日本人移動者","2021年","牡鹿郡","","3","1","-6","2","7","-3","1","-6","-3"
"日本人移動者","2021年","本吉郡","","-25","-36","13","-8","-11","0","-17","-25","13"
"日本人移動者","2021年","秋田県市部","","-1,320","-1,465","125","-614","-605","9","-706","-860","116"
"日本人移動者","2021年","秋田県郡部","","-180","-274","-70","-91","-105","-37","-89","-169","-33"
"日本人移動者","2021年","秋田市","","-139","-375","99","-52","-202","14","-87","-173","85"
"日本人移動者","2021年","能代市","","-136","-102","21","-71","-33","9","-65","-69","12"
"日本人移動者","2021年","横手市","","-209","-187","32","-125","-69","-3","-84","-118","35"
"日本人移動者","2021年","大館市","","-116","-51","35","-51","-22","15","-65","-29","20"
"日本人移動者","2021年","男鹿市","","-46","-69","-27","-21","-27","-15","-25","-42","-12"
"日本人移動者","2021年","湯沢市","","-99","-115","-34","-46","-35","-17","-53","-80","-17"
"日本人移動者","2021年","鹿角市","","-90","-80","7","-35","-36","8","-55","-44","-1"
"日本人移動者","2021年","由利本荘市","","-126","-146","38","-33","-65","28","-93","-81","10"
"日本人移動者","2021年","潟上市","","-54","-40","40","-36","-23","26","-18","-17","14"
"日本人移動者","2021年","大仙市","","-137","-168","-20","-71","-44","-9","-66","-124","-11"
"日本人移動者","2021年","北秋田市","","-70","-63","-28","-29","-40","-15","-41","-23","-13"
"日本人移動者","2021年","にかほ市","","-51","-26","-28","-17","9","-28","-34","-35","0"
"日本人移動者","2021年","仙北市","","-47","-43","-10","-27","-18","-4","-20","-25","-6"
"日本人移動者","2021年","鹿角郡","","-14","0","11","-5","2","6","-9","-2","5"
"日本人移動者","2021年","北秋田郡","","-1","-9","-1","0","-2","-1","-1","-7","0"
"日本人移動者","2021年","山本郡","","-52","-75","-15","-30","-30","-9","-22","-45","-6"
"日本人移動者","2021年","南秋田郡","","-19","-120","-12","-13","-44","-10","-6","-76","-2"
"日本人移動者","2021年","仙北郡","","-60","-37","-35","-32","-16","-18","-28","-21","-17"
"日本人移動者","2021年","雄勝郡","","-34","-33","-18","-11","-15","-5","-23","-18","-13"
"日本人移動者","2021年","山形県市部","","-603","-1,412","-23","-262","-632","-17","-341","-780","-6"
"日本人移動者","2021年","山形県郡部","","-529","-543","-216","-290","-236","-105","-239","-307","-111"
"日本人移動者","2021年","山形市","","163","-434","69","44","-241","34","119","-193","35"
"日本人移動者","2021年","米沢市","","9","-140","-17","33","-65","5","-24","-75","-22"
"日本人移動者","2021年","鶴岡市","","-238","-294","0","-98","-93","37","-140","-201","-37"
"日本人移動者","2021年","酒田市","","-206","-86","-14","-96","-38","-17","-110","-48","3"
"日本人移動者","2021年","新庄市","","-36","-81","-29","-4","-41","-14","-32","-40","-15"
"日本人移動者","2021年","寒河江市","","-63","-37","23","-37","-18","-3","-26","-19","26"
"日本人移動者","2021年","上山市","","-42","-51","-41","-27","-35","-19","-15","-16","-22"
"日本人移動者","2021年","村山市","","-55","-54","-36","-40","-30","-15","-15","-24","-21"
"日本人移動者","2021年","長井市","","-44","-81","-2","-16","-37","-13","-28","-44","11"
"日本人移動者","2021年","天童市","","-64","-71","14","-41","-5","-10","-23","-66","24"
"日本人移動者","2021年","東根市","","57","-16","37","67","-12","12","-10","-4","25"
"日本人移動者","2021年","尾花沢市","","-33","-46","-22","-20","-16","-11","-13","-30","-11"
"日本人移動者","2021年","南陽市","","-51","-21","-5","-27","-1","-3","-24","-20","-2"
