"","","","/表章項目","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】"
"日本人移動者","2020年","戸田市","","90","524","238","46","243","144","44","281","94"
"日本人移動者","2020年","入間市","","-3","-222","-76","-25","-105","-48","22","-117","-28"
"日本人移動者","2020年","朝霞市","","112","356","226","40","152","82","72","204","144"
"日本人移動者","2020年","志木市","","19","33","51","9","-7","24","10","40","27"
"日本人移動者","2020年","和光市","","72","396","101","46","195","60","26","201","41"
"日本人移動者","2020年","新座市","","68","86","-3","10","27","-7","58","59","4"
"日本人移動者","2020年","桶川市","","-3","-37","-7","-11","-4","11","8","-33","-18"
"日本人移動者","2020年","久喜市","","-12","-134","-176","-12","-77","-84","0","-57","-92"
"日本人移動者","2020年","北本市","","-33","-47","-21","-23","-31","-17","-10","-16","-4"
"日本人移動者","2020年","八潮市","","8","213","160","18","111","121","-10","102","39"
"日本人移動者","2020年","富士見市","","58","304","135","-4","91","90","62","213","45"
"日本人移動者","2020年","三郷市","","6","124","129","0","30","38","6","94","91"
"日本人移動者","2020年","蓮田市","","2","12","47","-1","-22","48","3","34","-1"
"日本人移動者","2020年","坂戸市","","66","-140","-67","43","-86","-26","23","-54","-41"
"日本人移動者","2020年","幸手市","","-19","-96","-65","-13","-60","-34","-6","-36","-31"
"日本人移動者","2020年","鶴ヶ島市","","38","-5","-32","14","6","-4","24","-11","-28"
"日本人移動者","2020年","日高市","","-14","-102","-34","-22","-49","-6","8","-53","-28"
"日本人移動者","2020年","吉川市","","-11","44","-22","-9","15","-7","-2","29","-15"
"日本人移動者","2020年","ふじみ野市","","85","-76","56","62","-75","10","23","-1","46"
"日本人移動者","2020年","白岡市","","4","-46","-17","3","-43","-8","1","-3","-9"
"日本人移動者","2020年","北足立郡","","-7","-22","39","-7","4","55","0","-26","-16"
"日本人移動者","2020年","入間郡","","19","-149","-174","4","-96","-88","15","-53","-86"
"日本人移動者","2020年","比企郡","","-51","-320","-245","-30","-179","-124","-21","-141","-121"
"日本人移動者","2020年","秩父郡","","-35","-132","-54","-17","-53","-32","-18","-79","-22"
"日本人移動者","2020年","児玉郡","","-6","-188","-79","-6","-109","-50","0","-79","-29"
"日本人移動者","2020年","大里郡","","-5","-68","-71","2","-18","-37","-7","-50","-34"
"日本人移動者","2020年","南埼玉郡","","56","-70","-17","42","-43","-5","14","-27","-12"
"日本人移動者","2020年","北葛飾郡","","-21","-188","-74","-8","-103","-22","-13","-85","-52"
"日本人移動者","2020年","千葉県市部","","2,210","4,839","335","1,255","1,825","261","955","3,014","74"
"日本人移動者","2020年","千葉県郡部","","67","-703","-253","51","-334","-106","16","-369","-147"
"日本人移動者","2020年","千葉市","","605","1,083","219","303","466","136","302","617","83"
"日本人移動者","2020年","銚子市","","-42","-154","-97","-10","-53","-43","-32","-101","-54"
"日本人移動者","2020年","市川市","","322","2,230","256","176","1,198","96","146","1,032","160"
"日本人移動者","2020年","船橋市","","335","1,354","422","180","601","222","155","753","200"
"日本人移動者","2020年","館山市","","-47","-29","25","-21","-5","17","-26","-24","8"
"日本人移動者","2020年","木更津市","","23","-3","196","8","-11","95","15","8","101"
"日本人移動者","2020年","松戸市","","134","889","176","45","435","127","89","454","49"
"日本人移動者","2020年","野田市","","48","-194","-177","40","-144","-82","8","-50","-95"
"日本人移動者","2020年","茂原市","","-32","-111","-86","-16","-45","-61","-16","-66","-25"
"日本人移動者","2020年","成田市","","149","438","-651","53","31","-311","96","407","-340"
"日本人移動者","2020年","佐倉市","","-48","-289","-246","-2","-157","-119","-46","-132","-127"
"日本人移動者","2020年","東金市","","-17","-194","-105","-15","-90","-56","-2","-104","-49"
"日本人移動者","2020年","旭市","","-25","-107","-76","-27","-41","-22","2","-66","-54"
"日本人移動者","2020年","習志野市","","286","64","234","217","-118","100","69","182","134"
"日本人移動者","2020年","柏市","","242","643","422","105","265","191","137","378","231"
"日本人移動者","2020年","勝浦市","","129","-189","-4","109","-135","-11","20","-54","7"
"日本人移動者","2020年","市原市","","127","-102","-242","135","-7","-100","-8","-95","-142"
"日本人移動者","2020年","流山市","","68","395","817","36","249","330","32","146","487"
"日本人移動者","2020年","八千代市","","38","213","335","1","57","169","37","156","166"
"日本人移動者","2020年","我孫子市","","19","-152","-73","17","-94","-21","2","-58","-52"
"日本人移動者","2020年","鴨川市","","-8","47","-87","-18","9","-11","10","38","-76"
"日本人移動者","2020年","鎌ケ谷市","","45","142","21","17","59","33","28","83","-12"
"日本人移動者","2020年","君津市","","141","-189","-145","145","-101","-102","-4","-88","-43"
"日本人移動者","2020年","富津市","","37","-105","-86","53","-46","-26","-16","-59","-60"
"日本人移動者","2020年","浦安市","","178","808","-537","54","360","-239","124","448","-298"
"日本人移動者","2020年","四街道市","","-59","-62","122","-59","-62","117","0","0","5"
"日本人移動者","2020年","袖ケ浦市","","-18","-34","118","-4","-23","76","-14","-11","42"
"日本人移動者","2020年","八街市","","-71","-199","-146","-52","-65","-72","-19","-134","-74"
"日本人移動者","2020年","印西市","","-78","-404","199","-55","-212","73","-23","-192","126"
"日本人移動者","2020年","白井市","","-12","-148","-89","-7","-99","-48","-5","-49","-41"
"日本人移動者","2020年","富里市","","-3","-20","-35","-3","-36","-26","0","16","-9"
"日本人移動者","2020年","南房総市","","-65","-108","-19","-34","-48","-5","-31","-60","-14"
"日本人移動者","2020年","匝瑳市","","-15","-116","-42","-14","-47","-22","-1","-69","-20"
"日本人移動者","2020年","香取市","","-55","-172","-97","-33","-70","-66","-22","-102","-31"
"日本人移動者","2020年","山武市","","-54","-158","-106","-28","-83","-59","-26","-75","-47"
"日本人移動者","2020年","いすみ市","","-32","-123","-40","-11","-52","-13","-21","-71","-27"
"日本人移動者","2020年","大網白里市","","-35","-105","-41","-30","-61","-6","-5","-44","-35"
"日本人移動者","2020年","印旛郡","","186","-192","-8","120","-118","2","66","-74","-10"
"日本人移動者","2020年","香取郡","","-37","-76","-46","-25","-24","-21","-12","-52","-25"
"日本人移動者","2020年","山武郡","","-33","-150","-78","-21","-52","-30","-12","-98","-48"
"日本人移動者","2020年","長生郡","","-2","-184","-73","-3","-97","-43","1","-87","-30"
"日本人移動者","2020年","夷隅郡","","-31","-69","-37","-9","-28","-8","-22","-41","-29"
"日本人移動者","2020年","安房郡","","-16","-32","-11","-11","-15","-6","-5","-17","-5"
"日本人移動者","2020年","東京都市部","","11,640","54,155","13,617","5,454","25,239","7,587","6,186","28,916","6,030"
"日本人移動者","2020年","東京都郡部","","-74","-86","-10","-40","-47","-4","-34","-39","-6"
"日本人移動者","2020年","東京都特別区部","","6,763","52,208","15,403","3,068","24,780","8,635","3,695","27,428","6,768"
"日本人移動者","2020年","八王子市","","1,602","-1,681","-701","928","-810","-378","674","-871","-323"
"日本人移動者","2020年","立川市","","221","336","-25","80","193","-37","141","143","12"
"日本人移動者","2020年","武蔵野市","","126","532","176","39","222","101","87","310","75"
"日本人移動者","2020年","三鷹市","","235","585","-129","92","293","-106","143","292","-23"
"日本人移動者","2020年","青梅市","","-25","-93","-245","-11","4","-120","-14","-97","-125"
"日本人移動者","2020年","府中市","","261","367","-114","116","131","-66","145","236","-48"
"日本人移動者","2020年","昭島市","","11","145","59","9","61","28","2","84","31"
"日本人移動者","2020年","調布市","","342","855","-96","203","341","-23","139","514","-73"
"日本人移動者","2020年","町田市","","306","-187","-244","130","-129","-44","176","-58","-200"
"日本人移動者","2020年","小金井市","","210","444","127","91","182","38","119","262","89"
"日本人移動者","2020年","小平市","","288","-17","-52","132","-68","-46","156","51","-6"
"日本人移動者","2020年","日野市","","179","188","163","85","80","44","94","108","119"
"日本人移動者","2020年","東村山市","","118","-43","-113","26","-45","-77","92","2","-36"
"日本人移動者","2020年","国分寺市","","183","415","23","99","251","-15","84","164","38"
"日本人移動者","2020年","国立市","","168","81","-62","61","14","-34","107","67","-28"
"日本人移動者","2020年","福生市","","33","17","-88","10","0","-56","23","17","-32"
"日本人移動者","2020年","狛江市","","73","292","-52","28","128","-24","45","164","-28"
"日本人移動者","2020年","東大和市","","36","-26","29","14","-36","-11","22","10","40"
"日本人移動者","2020年","清瀬市","","31","44","73","-1","18","43","32","26","30"
"日本人移動者","2020年","東久留米市","","44","-102","-4","9","-72","-10","35","-30","6"
"日本人移動者","2020年","武蔵村山市","","-39","-130","-75","-22","-62","-34","-17","-68","-41"
"日本人移動者","2020年","多摩市","","187","53","-193","97","-27","-101","90","80","-92"
"日本人移動者","2020年","稲城市","","58","-8","-7","23","-43","0","35","35","-7"
"日本人移動者","2020年","羽村市","","41","-230","-79","54","-156","-54","-13","-74","-25"
"日本人移動者","2020年","あきる野市","","-36","-147","-110","-27","-104","-65","-9","-43","-45"
"日本人移動者","2020年","西東京市","","224","257","-47","121","93","-1","103","164","-46"
"日本人移動者","2020年","西多摩郡","","14","-126","-70","16","-75","-47","-2","-51","-23"
"日本人移動者","2020年","大島支庁","","-45","-4","36","-35","0","21","-10","-4","15"
"日本人移動者","2020年","三宅支庁","","-5","14","10","-1","8","11","-4","6","-1"
"日本人移動者","2020年","八丈支庁","","-33","15","-2","-18","7","3","-15","8","-5"
"日本人移動者","2020年","小笠原支庁","","-5","15","16","-2","13","8","-3","2","8"
"日本人移動者","2020年","神奈川県市部","","4,704","12,809","3,268","2,729","5,989","1,919","1,975","6,820","1,349"
"日本人移動者","2020年","神奈川県郡部","","-31","-478","-392","-17","-233","-209","-14","-245","-183"
"日本人移動者","2020年","横浜市","","1,662","6,435","1,743","777","3,160","997","885","3,275","746"
"日本人移動者","2020年","川崎市","","1,219","7,622","1,694","658","3,701","965","561","3,921","729"
"日本人移動者","2020年","相模原市","","373","216","32","138","69","41","235","147","-9"
"日本人移動者","2020年","横須賀市","","718","-1,029","-495","660","-627","-228","58","-402","-267"
"日本人移動者","2020年","平塚市","","95","-41","-66","64","-29","-21","31","-12","-45"
"日本人移動者","2020年","鎌倉市","","14","-94","145","-6","-91","78","20","-3","67"
"日本人移動者","2020年","藤沢市","","145","258","350","99","111","140","46","147","210"
"日本人移動者","2020年","小田原市","","-11","-201","-233","-34","-116","-106","23","-85","-127"
"日本人移動者","2020年","茅ヶ崎市","","13","-77","55","15","-68","-4","-2","-9","59"
"日本人移動者","2020年","逗子市","","-20","-100","-12","-13","-57","-3","-7","-43","-9"
"日本人移動者","2020年","三浦市","","-35","-110","-77","-18","-52","-41","-17","-58","-36"
"日本人移動者","2020年","秦野市","","122","-318","-188","93","-178","-64","29","-140","-124"
"日本人移動者","2020年","厚木市","","98","-84","-194","78","-15","-107","20","-69","-87"
"日本人移動者","2020年","大和市","","132","485","274","85","234","146","47","251","128"
"日本人移動者","2020年","伊勢原市","","58","35","0","48","53","-12","10","-18","12"
"日本人移動者","2020年","海老名市","","39","64","269","34","24","148","5","40","121"
"日本人移動者","2020年","座間市","","81","-43","36","58","-12","45","23","-31","-9"
"日本人移動者","2020年","南足柄市","","-23","-122","-57","-13","-76","-38","-10","-46","-19"
"日本人移動者","2020年","綾瀬市","","24","-87","-8","6","-42","-17","18","-45","9"
"日本人移動者","2020年","三浦郡","","-20","-101","-63","-8","-54","-38","-12","-47","-25"
"日本人移動者","2020年","高座郡","","30","-1","24","13","9","-9","17","-10","33"
"日本人移動者","2020年","中郡","","-11","-108","-102","-5","-47","-57","-6","-61","-45"
"日本人移動者","2020年","足柄上郡","","-15","-143","-45","-17","-78","-25","2","-65","-20"
"日本人移動者","2020年","足柄下郡","","-8","-30","-104","-5","-20","-11","-3","-10","-93"
"日本人移動者","2020年","愛甲郡","","-7","-95","-102","5","-43","-69","-12","-52","-33"
"日本人移動者","2020年","新潟県市部","","-981","-4,011","-472","-442","-1,763","-261","-539","-2,248","-211"
"日本人移動者","2020年","新潟県郡部","","-78","-265","-78","-25","-142","-51","-53","-123","-27"
"日本人移動者","2020年","新潟市","","107","-837","237","81","-425","100","26","-412","137"
"日本人移動者","2020年","長岡市","","-115","-403","-72","-86","-94","-29","-29","-309","-43"
"日本人移動者","2020年","三条市","","-74","-228","-86","-45","-111","-54","-29","-117","-32"
"日本人移動者","2020年","柏崎市","","-47","-143","-32","-8","-70","-20","-39","-73","-12"
"日本人移動者","2020年","新発田市","","2","-227","-29","23","-139","-13","-21","-88","-16"
"日本人移動者","2020年","小千谷市","","-25","-115","-54","-11","-75","-29","-14","-40","-25"
"日本人移動者","2020年","加茂市","","-15","-113","-37","-5","-56","-10","-10","-57","-27"
"日本人移動者","2020年","十日町市","","-61","-185","-8","-38","-69","-2","-23","-116","-6"
"日本人移動者","2020年","見附市","","-28","-55","7","-18","-22","11","-10","-33","-4"
"日本人移動者","2020年","村上市","","-62","-199","-75","-29","-90","-42","-33","-109","-33"
"日本人移動者","2020年","燕市","","-79","-120","29","-44","-64","5","-35","-56","24"
"日本人移動者","2020年","糸魚川市","","-77","-119","-1","-37","-31","-11","-40","-88","10"
"日本人移動者","2020年","妙高市","","-34","-114","-65","-2","-49","-35","-32","-65","-30"
"日本人移動者","2020年","五泉市","","-23","-136","-67","-9","-52","-31","-14","-84","-36"
"日本人移動者","2020年","上越市","","-230","-327","-48","-112","-146","-19","-118","-181","-29"
"日本人移動者","2020年","阿賀野市","","-49","-110","-58","-37","-29","-24","-12","-81","-34"
"日本人移動者","2020年","佐渡市","","-37","-171","-31","-17","-61","-9","-20","-110","-22"
"日本人移動者","2020年","魚沼市","","-72","-127","-18","-34","-56","-9","-38","-71","-9"
"日本人移動者","2020年","南魚沼市","","-67","-163","-35","-31","-75","-19","-36","-88","-16"
"日本人移動者","2020年","胎内市","","5","-119","-29","17","-49","-21","-12","-70","-8"
"日本人移動者","2020年","北蒲原郡","","3","-68","8","10","-46","-1","-7","-22","9"
"日本人移動者","2020年","西蒲原郡","","-14","-22","-20","-6","-6","-10","-8","-16","-10"
"日本人移動者","2020年","南蒲原郡","","-7","-43","-14","1","-25","-8","-8","-18","-6"
"日本人移動者","2020年","東蒲原郡","","-22","-37","-20","-14","-13","-4","-8","-24","-16"
"日本人移動者","2020年","三島郡","","-3","-5","-14","1","1","-8","-4","-6","-6"
"日本人移動者","2020年","南魚沼郡","","-2","-25","-3","1","-11","-3","-3","-14","0"
"日本人移動者","2020年","中魚沼郡","","-15","-31","-4","-12","-19","-5","-3","-12","1"
"日本人移動者","2020年","刈羽郡","","-7","-15","-6","-3","-11","-10","-4","-4","4"
"日本人移動者","2020年","岩船郡","","-11","-19","-5","-3","-12","-2","-8","-7","-3"
"日本人移動者","2020年","富山県市部","","-334","-925","-221","-105","-302","-63","-229","-623","-158"
"日本人移動者","2020年","富山県郡部","","-100","-253","-128","-57","-104","-62","-43","-149","-66"
"日本人移動者","2020年","富山市","","-44","-109","61","32","7","48","-76","-116","13"
"日本人移動者","2020年","高岡市","","-88","-216","-44","-52","-86","-10","-36","-130","-34"
"日本人移動者","2020年","魚津市","","-33","-69","19","-19","-23","26","-14","-46","-7"
"日本人移動者","2020年","氷見市","","-36","-117","-77","-16","-42","-39","-20","-75","-38"
"日本人移動者","2020年","滑川市","","-15","-53","33","-8","-13","15","-7","-40","18"
"日本人移動者","2020年","黒部市","","-4","-6","-46","4","25","-22","-8","-31","-24"
"日本人移動者","2020年","砺波市","","-22","-64","-22","-6","-31","6","-16","-33","-28"
"日本人移動者","2020年","小矢部市","","-23","-18","-37","-7","-3","-25","-16","-15","-12"
"日本人移動者","2020年","南砺市","","-43","-104","-103","-19","-48","-47","-24","-56","-56"
"日本人移動者","2020年","射水市","","-26","-169","-5","-14","-88","-15","-12","-81","10"
"日本人移動者","2020年","中新川郡","","-70","-131","-38","-36","-53","-18","-34","-78","-20"
"日本人移動者","2020年","下新川郡","","-30","-122","-90","-21","-51","-44","-9","-71","-46"
"日本人移動者","2020年","石川県市部","","828","-1,595","-189","594","-928","-208","234","-667","19"
"日本人移動者","2020年","石川県郡部","","-120","-312","-195","-74","-145","-87","-46","-167","-108"
"日本人移動者","2020年","金沢市","","683","-322","-153","424","-262","-143","259","-60","-10"
"日本人移動者","2020年","七尾市","","-48","-132","-98","-30","-62","-31","-18","-70","-67"
"日本人移動者","2020年","小松市","","15","-137","-5","39","-28","4","-24","-109","-9"
"日本人移動者","2020年","輪島市","","-8","-199","-57","-20","-106","-35","12","-93","-22"
"日本人移動者","2020年","珠洲市","","-19","-43","-11","-14","-19","2","-5","-24","-13"
"日本人移動者","2020年","加賀市","","-60","-163","-84","-19","-71","-49","-41","-92","-35"
"日本人移動者","2020年","羽咋市","","-19","-74","-4","-10","-29","3","-9","-45","-7"
"日本人移動者","2020年","かほく市","","4","-93","73","-18","-32","26","22","-61","47"
"日本人移動者","2020年","白山市","","-35","-286","-17","-20","-155","-30","-15","-131","13"
"日本人移動者","2020年","能美市","","-17","-48","-30","-14","-29","-38","-3","-19","8"
"日本人移動者","2020年","野々市市","","332","-98","197","276","-135","83","56","37","114"
"日本人移動者","2020年","能美郡","","-9","-7","8","-7","-4","4","-2","-3","4"
"日本人移動者","2020年","河北郡","","-28","-72","-62","-14","-23","-27","-14","-49","-35"
"日本人移動者","2020年","羽咋郡","","-25","-94","-69","-21","-30","-31","-4","-64","-38"
"日本人移動者","2020年","鹿島郡","","-16","-58","-10","-11","-34","-10","-5","-24","0"
"日本人移動者","2020年","鳳珠郡","","-42","-81","-62","-21","-54","-23","-21","-27","-39"
"日本人移動者","2020年","福井県市部","","-299","-1,167","-123","-184","-464","-67","-115","-703","-56"
"日本人移動者","2020年","福井県郡部","","-61","-279","-143","-23","-104","-82","-38","-175","-61"
"日本人移動者","2020年","福井市","","-55","-315","57","-16","-159","15","-39","-156","42"
"日本人移動者","2020年","敦賀市","","-58","-134","7","-48","-34","20","-10","-100","-13"
"日本人移動者","2020年","小浜市","","-32","-73","31","-24","-25","14","-8","-48","17"
"日本人移動者","2020年","大野市","","-37","-92","-53","-17","-41","-30","-20","-51","-23"
"日本人移動者","2020年","勝山市","","-8","-50","-27","-5","-17","-10","-3","-33","-17"
"日本人移動者","2020年","鯖江市","","-22","-69","56","-10","-6","31","-12","-63","25"
"日本人移動者","2020年","あわら市","","-14","-91","-59","-2","-32","-29","-12","-59","-30"
"日本人移動者","2020年","越前市","","-32","-138","-104","-22","-49","-74","-10","-89","-30"
"日本人移動者","2020年","坂井市","","-41","-205","-31","-40","-101","-4","-1","-104","-27"
"日本人移動者","2020年","吉田郡","","12","-46","-35","3","-18","-28","9","-28","-7"
"日本人移動者","2020年","今立郡","","-3","-3","-4","-1","1","-4","-2","-4","0"
"日本人移動者","2020年","南条郡","","-7","-45","-34","-3","-29","-11","-4","-16","-23"
"日本人移動者","2020年","丹生郡","","-21","-74","-33","-7","-26","-21","-14","-48","-12"
"日本人移動者","2020年","三方郡","","1","-6","17","3","-1","15","-2","-5","2"
"日本人移動者","2020年","大飯郡","","-26","-59","-30","-5","-24","-14","-21","-35","-16"
"日本人移動者","2020年","三方上中郡","","-17","-46","-24","-13","-7","-19","-4","-39","-5"
"日本人移動者","2020年","山梨県市部","","196","-1,741","-269","61","-834","-80","135","-907","-189"
"日本人移動者","2020年","山梨県郡部","","-29","-251","-98","1","-72","-72","-30","-179","-26"
"日本人移動者","2020年","甲府市","","216","-257","38","131","-150","8","85","-107","30"
"日本人移動者","2020年","富士吉田市","","-30","-120","-13","-13","-59","-6","-17","-61","-7"
"日本人移動者","2020年","都留市","","236","-351","-1","67","-135","1","169","-216","-2"
"日本人移動者","2020年","山梨市","","-31","-82","-33","-14","-59","-15","-17","-23","-18"
"日本人移動者","2020年","大月市","","21","-122","-36","8","-55","-6","13","-67","-30"
"日本人移動者","2020年","韮崎市","","-31","-102","-62","-14","-33","-23","-17","-69","-39"
"日本人移動者","2020年","南アルプス市","","-55","-201","12","-37","-99","14","-18","-102","-2"
"日本人移動者","2020年","北杜市","","-23","-118","-60","-9","-48","-25","-14","-70","-35"
"日本人移動者","2020年","甲斐市","","-72","-78","81","-43","-50","55","-29","-28","26"
"日本人移動者","2020年","笛吹市","","-28","-71","-22","-17","-53","-9","-11","-18","-13"
"日本人移動者","2020年","上野原市","","7","-99","-32","2","-35","-10","5","-64","-22"
"日本人移動者","2020年","甲州市","","-20","-120","-85","-9","-59","-39","-11","-61","-46"
"日本人移動者","2020年","中央市","","6","-20","-56","9","1","-25","-3","-21","-31"
"日本人移動者","2020年","西八代郡","","-5","-60","-20","-4","-26","-9","-1","-34","-11"
"日本人移動者","2020年","南巨摩郡","","-46","-109","-67","-18","-40","-39","-28","-69","-28"
"日本人移動者","2020年","中巨摩郡","","-5","8","27","-7","9","1","2","-1","26"
"日本人移動者","2020年","南都留郡","","32","-93","-33","34","-16","-20","-2","-77","-13"
"日本人移動者","2020年","北都留郡","","-5","3","-5","-4","1","-5","-1","2","0"
"日本人移動者","2020年","長野県市部","","-1,049","-2,053","-98","-556","-820","-78","-493","-1,233","-20"
"日本人移動者","2020年","長野県郡部","","-429","-940","-293","-237","-459","-199","-192","-481","-94"
"日本人移動者","2020年","長野市","","-203","-354","27","-103","-118","-23","-100","-236","50"
"日本人移動者","2020年","松本市","","10","-79","127","28","-47","71","-18","-32","56"
"日本人移動者","2020年","上田市","","-36","-198","12","-29","-53","-4","-7","-145","16"
"日本人移動者","2020年","岡谷市","","-30","-66","-59","-8","-28","-38","-22","-38","-21"
"日本人移動者","2020年","飯田市","","-147","-151","-15","-96","-45","4","-51","-106","-19"
"日本人移動者","2020年","諏訪市","","-15","8","3","4","24","20","-19","-16","-17"
"日本人移動者","2020年","須坂市","","-38","-110","-9","-31","-42","-16","-7","-68","7"
"日本人移動者","2020年","小諸市","","-46","-86","-35","-25","-69","-33","-21","-17","-2"
"日本人移動者","2020年","伊那市","","-77","-124","-62","-42","-34","-53","-35","-90","-9"
"日本人移動者","2020年","駒ヶ根市","","-34","-70","9","-24","-18","14","-10","-52","-5"
"日本人移動者","2020年","中野市","","-45","-103","6","-19","-48","-8","-26","-55","14"
"日本人移動者","2020年","大町市","","-43","-62","-43","-25","-22","-21","-18","-40","-22"
"日本人移動者","2020年","飯山市","","-2","-77","-32","-6","-37","-6","4","-40","-26"
"日本人移動者","2020年","茅野市","","-5","-113","-2","18","-70","-5","-23","-43","3"
"日本人移動者","2020年","塩尻市","","-76","-46","-19","-49","-13","-18","-27","-33","-1"
"日本人移動者","2020年","佐久市","","-88","-121","42","-48","-56","22","-40","-65","20"
"日本人移動者","2020年","千曲市","","-35","-113","-45","-26","-76","-4","-9","-37","-41"
"日本人移動者","2020年","東御市","","-36","-22","26","-10","-4","20","-26","-18","6"
"日本人移動者","2020年","安曇野市","","-103","-166","-29","-65","-64","0","-38","-102","-29"
"日本人移動者","2020年","南佐久郡","","-52","-79","-28","-24","-36","-17","-28","-43","-11"
"日本人移動者","2020年","北佐久郡","","-32","59","-33","-18","15","-13","-14","44","-20"
"日本人移動者","2020年","小県郡","","-9","-35","-14","-8","-15","-13","-1","-20","-1"
"日本人移動者","2020年","諏訪郡","","-36","-145","-14","-22","-71","-23","-14","-74","9"
"日本人移動者","2020年","上伊那郡","","-66","-158","18","-27","-77","-8","-39","-81","26"
"日本人移動者","2020年","下伊那郡","","-75","-174","-60","-45","-79","-26","-30","-95","-34"
"日本人移動者","2020年","木曽郡","","-10","-47","-55","-12","-27","-20","2","-20","-35"
"日本人移動者","2020年","東筑摩郡","","-22","-64","-5","-7","-25","-6","-15","-39","1"
"日本人移動者","2020年","北安曇郡","","-48","-50","-34","-34","-19","-29","-14","-31","-5"
"日本人移動者","2020年","埴科郡","","-2","-41","-20","-2","-20","-20","0","-21","0"
"日本人移動者","2020年","上高井郡","","-11","-54","-1","-7","-36","-8","-4","-18","7"
"日本人移動者","2020年","下高井郡","","-40","-63","-26","-15","-29","-7","-25","-34","-19"
"日本人移動者","2020年","上水内郡","","-22","-83","-20","-14","-36","-7","-8","-47","-13"
"日本人移動者","2020年","下水内郡","","-4","-6","-1","-2","-4","-2","-2","-2","1"
"日本人移動者","2020年","岐阜県市部","","-687","-2,731","-1,062","-410","-1,252","-395","-277","-1,479","-667"
"日本人移動者","2020年","岐阜県郡部","","-243","-611","-478","-127","-261","-229","-116","-350","-249"
"日本人移動者","2020年","岐阜市","","-3","-268","-67","-36","-148","-4","33","-120","-63"
"日本人移動者","2020年","大垣市","","28","-127","-110","32","-21","-57","-4","-106","-53"
"日本人移動者","2020年","高山市","","-125","-189","-35","-71","-67","-17","-54","-122","-18"
"日本人移動者","2020年","多治見市","","-64","-219","-134","-38","-81","-55","-26","-138","-79"
"日本人移動者","2020年","関市","","-17","-184","-152","-20","-76","-47","3","-108","-105"
"日本人移動者","2020年","中津川市","","-114","-210","-69","-53","-91","-26","-61","-119","-43"
"日本人移動者","2020年","美濃市","","-22","-59","-11","-6","-29","-10","-16","-30","-1"
"日本人移動者","2020年","瑞浪市","","-39","-73","-25","-28","-32","-7","-11","-41","-18"
"日本人移動者","2020年","羽島市","","-43","-140","-43","-36","-70","-19","-7","-70","-24"
"日本人移動者","2020年","恵那市","","-65","-90","-82","-47","-20","-40","-18","-70","-42"
"日本人移動者","2020年","美濃加茂市","","-2","-46","-13","8","-43","-1","-10","-3","-12"
"日本人移動者","2020年","土岐市","","-26","-126","-35","-8","-69","0","-18","-57","-35"
"日本人移動者","2020年","各務原市","","11","-149","-121","12","-97","-42","-1","-52","-79"
"日本人移動者","2020年","可児市","","9","-113","-36","15","-54","4","-6","-59","-40"
"日本人移動者","2020年","山県市","","-19","-95","-75","-15","-42","-38","-4","-53","-37"
"日本人移動者","2020年","瑞穂市","","31","-46","164","26","-37","88","5","-9","76"
"日本人移動者","2020年","飛騨市","","-49","-58","13","-34","-15","0","-15","-43","13"
"日本人移動者","2020年","本巣市","","-27","-109","-61","-17","-73","-34","-10","-36","-27"
"日本人移動者","2020年","郡上市","","-63","-148","-53","-39","-57","-39","-24","-91","-14"
"日本人移動者","2020年","下呂市","","-63","-147","-26","-37","-60","-14","-26","-87","-12"
"日本人移動者","2020年","海津市","","-25","-135","-91","-18","-70","-37","-7","-65","-54"
"日本人移動者","2020年","羽島郡","","6","6","73","3","-5","41","3","11","32"
"日本人移動者","2020年","養老郡","","-35","-99","-86","-19","-46","-42","-16","-53","-44"
"日本人移動者","2020年","不破郡","","-26","-53","-55","-17","-8","-33","-9","-45","-22"
"日本人移動者","2020年","安八郡","","-52","-120","-103","-20","-61","-41","-32","-59","-62"
"日本人移動者","2020年","揖斐郡","","-60","-170","-136","-40","-70","-62","-20","-100","-74"
"日本人移動者","2020年","本巣郡","","-15","-3","-7","-6","12","0","-9","-15","-7"
"日本人移動者","2020年","加茂郡","","-44","-118","-119","-26","-49","-64","-18","-69","-55"
"日本人移動者","2020年","可児郡","","-14","-44","-45","-3","-29","-27","-11","-15","-18"
"日本人移動者","2020年","大野郡","","-3","-10","0","1","-5","-1","-4","-5","1"
"日本人移動者","2020年","静岡県市部","","-1,604","-2,617","-814","-749","-590","-372","-855","-2,027","-442"
"日本人移動者","2020年","静岡県郡部","","-170","-445","-107","-68","-209","-109","-102","-236","2"
"日本人移動者","2020年","静岡市","","-117","-153","-170","-60","-28","-75","-57","-125","-95"
"日本人移動者","2020年","浜松市","","-400","-159","-37","-216","110","67","-184","-269","-104"
"日本人移動者","2020年","沼津市","","-104","-189","12","-67","-69","17","-37","-120","-5"
"日本人移動者","2020年","熱海市","","11","-29","-89","-9","-11","-32","20","-18","-57"
"日本人移動者","2020年","三島市","","-1","-167","-30","-4","-67","-5","3","-100","-25"
"日本人移動者","2020年","富士宮市","","-100","-209","-3","-50","-63","-13","-50","-146","10"
"日本人移動者","2020年","伊東市","","-98","-188","-24","-52","-71","-11","-46","-117","-13"
"日本人移動者","2020年","島田市","","-102","-130","-38","-46","-56","-1","-56","-74","-37"
