"","","/都市間移動者数・その他","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数"
"","","/性別","総数","総数","総数","男","男","男","女","女","女"
"国籍","全国・都道府県・市区町村2018～","/年齢","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳"
"日本人移動者","安達郡","","-7","-9","29","-8","-6","10","1","-3","19"
"日本人移動者","岩瀬郡","","-11","-30","-13","-5","-5","8","-6","-25","-21"
"日本人移動者","南会津郡","","-52","-70","-18","-25","-33","-15","-27","-37","-3"
"日本人移動者","耶麻郡","","-42","-103","-32","-22","-55","-28","-20","-48","-4"
"日本人移動者","河沼郡","","-60","-92","1","-35","-40","-11","-25","-52","12"
"日本人移動者","大沼郡","","-56","-60","-20","-37","-37","-3","-19","-23","-17"
"日本人移動者","西白河郡","","-58","-66","13","-25","-36","20","-33","-30","-7"
"日本人移動者","東白川郡","","-73","-101","-41","-49","-43","-22","-24","-58","-19"
"日本人移動者","石川郡","","-78","-123","-68","-38","-54","-43","-40","-69","-25"
"日本人移動者","田村郡","","-32","-131","-40","-19","-56","-23","-13","-75","-17"
"日本人移動者","双葉郡","","-75","-187","-99","-49","-59","-37","-26","-128","-62"
"日本人移動者","相馬郡","","-21","-25","-14","-7","-18","-2","-14","-7","-12"
"日本人移動者","茨城県市部","","-626","-3,132","-1,186","-203","-1,076","-566","-423","-2,056","-620"
"日本人移動者","茨城県郡部","","-122","-510","-188","-42","-236","-51","-80","-274","-137"
"日本人移動者","水戸市","","-42","-96","45","-6","11","32","-36","-107","13"
"日本人移動者","日立市","","-132","-279","-249","-63","-70","-168","-69","-209","-81"
"日本人移動者","土浦市","","49","11","-63","20","78","-36","29","-67","-27"
"日本人移動者","古河市","","9","-149","-193","-2","-83","-69","11","-66","-124"
"日本人移動者","石岡市","","-32","-152","-102","-18","-48","-64","-14","-104","-38"
"日本人移動者","結城市","","-21","-84","-30","-13","-21","-14","-8","-63","-16"
"日本人移動者","龍ケ崎市","","35","-223","-92","41","-130","-14","-6","-93","-78"
"日本人移動者","下妻市","","-30","-90","-65","-13","-33","-35","-17","-57","-30"
"日本人移動者","常総市","","-33","-63","-82","-21","-18","-28","-12","-45","-54"
"日本人移動者","常陸太田市","","-59","-227","-84","-36","-84","-49","-23","-143","-35"
"日本人移動者","高萩市","","-23","-44","-82","-15","-6","-31","-8","-38","-51"
"日本人移動者","北茨城市","","-35","-112","-80","-15","-36","-38","-20","-76","-42"
"日本人移動者","笠間市","","-63","-159","12","-32","-68","30","-31","-91","-18"
"日本人移動者","取手市","","18","-128","-91","-1","-79","-47","19","-49","-44"
"日本人移動者","牛久市","","1","-92","-90","7","-42","-38","-6","-50","-52"
"日本人移動者","つくば市","","361","139","308","226","27","130","135","112","178"
"日本人移動者","ひたちなか市","","-76","-186","118","-32","-54","64","-44","-132","54"
"日本人移動者","鹿嶋市","","15","-54","10","35","11","-7","-20","-65","17"
"日本人移動者","潮来市","","-37","-55","-15","-8","-33","-11","-29","-22","-4"
"日本人移動者","守谷市","","-11","-53","114","0","-20","52","-11","-33","62"
"日本人移動者","常陸大宮市","","-42","-101","-76","-19","-44","-42","-23","-57","-34"
"日本人移動者","那珂市","","-50","-113","20","-37","-57","32","-13","-56","-12"
"日本人移動者","筑西市","","-70","-185","-99","-29","-76","-65","-41","-109","-34"
"日本人移動者","坂東市","","-34","-118","-76","-13","-54","-27","-21","-64","-49"
"日本人移動者","稲敷市","","-37","-103","-80","-8","-67","-39","-29","-36","-41"
"日本人移動者","かすみがうら市","","-26","-40","-53","-23","-21","-35","-3","-19","-18"
"日本人移動者","桜川市","","-57","-164","-73","-36","-61","-22","-21","-103","-51"
"日本人移動者","神栖市","","-51","85","94","-4","96","53","-47","-11","41"
"日本人移動者","行方市","","-45","-106","-32","-27","-38","-15","-18","-68","-17"
"日本人移動者","鉾田市","","-52","-104","-71","-30","-29","-52","-22","-75","-19"
"日本人移動者","つくばみらい市","","-28","34","12","-23","20","1","-5","14","11"
"日本人移動者","小美玉市","","-28","-121","-41","-8","-47","-14","-20","-74","-27"
"日本人移動者","東茨城郡","","-56","-227","-89","-23","-118","-41","-33","-109","-48"
"日本人移動者","那珂郡","","-25","-38","56","-5","-13","44","-20","-25","12"
"日本人移動者","久慈郡","","-29","-63","-27","-18","-18","-8","-11","-45","-19"
"日本人移動者","稲敷郡","","9","-43","-26","1","-9","5","8","-34","-31"
"日本人移動者","結城郡","","-28","-63","-33","-16","-29","-18","-12","-34","-15"
"日本人移動者","猿島郡","","24","-27","-45","28","-21","-17","-4","-6","-28"
"日本人移動者","北相馬郡","","-17","-49","-24","-9","-28","-16","-8","-21","-8"
