year,place,total_15_19,total_20_24,total_25_29,m_15_19,m_20_24,m_25_29,f_15_19,f_20_24,f_25_29,city_county
2016,二戸市,-73.0,-30.0,-1.0,-45.0,-8.0,11.0,-28.0,-22.0,-12.0,city
2016,八幡平市,-46.0,-101.0,-21.0,-18.0,-41.0,1.0,-28.0,-60.0,-22.0,city
2016,奥州市,-221.0,-173.0,15.0,-113.0,-32.0,8.0,-108.0,-141.0,7.0,city
2016,滝沢市,64.0,-179.0,7.0,38.0,-104.0,5.0,26.0,-75.0,2.0,city
2016,岩手郡,-56.0,-117.0,-45.0,-36.0,-57.0,-37.0,-20.0,-60.0,-8.0,county
2016,紫波郡,-87.0,-132.0,10.0,-57.0,-67.0,11.0,-30.0,-65.0,-1.0,county
2016,和賀郡,-2.0,-25.0,-8.0,-4.0,-8.0,0.0,2.0,-17.0,-8.0,county
2016,胆沢郡,36.0,-79.0,-10.0,40.0,-44.0,-11.0,-4.0,-35.0,1.0,county
2016,西磐井郡,-18.0,-16.0,5.0,-10.0,-5.0,-2.0,-8.0,-11.0,7.0,county
2016,気仙郡,-4.0,-4.0,6.0,2.0,3.0,2.0,-6.0,-7.0,4.0,county
2016,上閉伊郡,-7.0,-37.0,-4.0,-6.0,-13.0,0.0,-1.0,-24.0,-4.0,county
2016,下閉伊郡,-106.0,-22.0,-12.0,-42.0,-16.0,-11.0,-64.0,-6.0,-1.0,county
2016,九戸郡,-109.0,-107.0,1.0,-49.0,-56.0,9.0,-60.0,-51.0,-8.0,county
2016,二戸郡,-23.0,-35.0,-20.0,-13.0,-10.0,-14.0,-10.0,-25.0,-6.0,county
2016,仙台市,1232.0,961.0,57.0,658.0,434.0,-68.0,574.0,527.0,125.0,city
2016,石巻市,-135.0,-145.0,-12.0,-48.0,-51.0,-27.0,-87.0,-94.0,15.0,city
2016,塩竈市,-17.0,-97.0,-28.0,-10.0,-59.0,-15.0,-7.0,-38.0,-13.0,city
2016,気仙沼市,-164.0,-87.0,31.0,-95.0,-47.0,21.0,-69.0,-40.0,10.0,city
2016,白石市,-34.0,-54.0,-28.0,-25.0,-19.0,-11.0,-9.0,-35.0,-17.0,city
2016,名取市,-16.0,-66.0,54.0,-21.0,-43.0,31.0,5.0,-23.0,23.0,city
2016,角田市,-39.0,-45.0,-29.0,-10.0,-9.0,-14.0,-29.0,-36.0,-15.0,city
2016,多賀城市,-6.0,10.0,68.0,36.0,0.0,23.0,-42.0,10.0,45.0,city
2016,岩沼市,5.0,-1.0,-20.0,-9.0,10.0,-8.0,14.0,-11.0,-12.0,city
2016,登米市,-173.0,-129.0,-25.0,-92.0,-66.0,-10.0,-81.0,-63.0,-15.0,city
2016,栗原市,-130.0,-190.0,-4.0,-54.0,-69.0,-4.0,-76.0,-121.0,0.0,city
2016,東松島市,-13.0,0.0,51.0,-10.0,12.0,27.0,-3.0,-12.0,24.0,city
2016,大崎市,-151.0,-84.0,-8.0,-107.0,-9.0,-30.0,-44.0,-75.0,22.0,city
2016,富谷市,-48.0,-130.0,14.0,-35.0,-69.0,-8.0,-13.0,-61.0,22.0,city
2016,刈田郡,-14.0,-31.0,-10.0,-6.0,-17.0,-3.0,-8.0,-14.0,-7.0,county
2016,柴田郡,88.0,-126.0,-44.0,79.0,-66.0,-22.0,9.0,-60.0,-22.0,county
2016,伊具郡,-22.0,-27.0,-25.0,-18.0,-10.0,-8.0,-4.0,-17.0,-17.0,county
2016,亘理郡,-46.0,-73.0,-26.0,-17.0,-42.0,0.0,-29.0,-31.0,-26.0,county
2016,宮城郡,-43.0,-207.0,-85.0,-22.0,-93.0,-47.0,-21.0,-114.0,-38.0,county
2016,黒川郡,-2.0,70.0,37.0,16.0,12.0,38.0,-18.0,58.0,-1.0,county
2016,加美郡,-36.0,-53.0,-43.0,-17.0,-19.0,-25.0,-19.0,-34.0,-18.0,county
2016,遠田郡,-42.0,-101.0,-17.0,-27.0,-34.0,6.0,-15.0,-67.0,-23.0,county
2016,牡鹿郡,-4.0,5.0,-11.0,-2.0,9.0,-11.0,-2.0,-4.0,0.0,county
2016,本吉郡,-35.0,-42.0,-20.0,-20.0,-25.0,-7.0,-15.0,-17.0,-13.0,county
2016,秋田市,-93.0,-363.0,15.0,-27.0,-181.0,5.0,-66.0,-182.0,10.0,city
2016,能代市,-180.0,-105.0,-4.0,-97.0,-43.0,-2.0,-83.0,-62.0,-2.0,city
2016,横手市,-222.0,-154.0,-18.0,-114.0,-62.0,-11.0,-108.0,-92.0,-7.0,city
2016,大館市,-170.0,-122.0,17.0,-102.0,-57.0,22.0,-68.0,-65.0,-5.0,city
2016,男鹿市,-38.0,-46.0,-25.0,-17.0,-13.0,-20.0,-21.0,-33.0,-5.0,city
2016,湯沢市,-116.0,-158.0,-15.0,-56.0,-68.0,-2.0,-60.0,-90.0,-13.0,city
2016,鹿角市,-99.0,-55.0,-3.0,-39.0,-21.0,-3.0,-60.0,-34.0,0.0,city
2016,由利本荘市,-138.0,-229.0,-23.0,-57.0,-127.0,-13.0,-81.0,-102.0,-10.0,city
2016,潟上市,-64.0,-58.0,-14.0,-37.0,-18.0,-6.0,-27.0,-40.0,-8.0,city
2016,大仙市,-166.0,-145.0,-68.0,-94.0,-57.0,-24.0,-72.0,-88.0,-44.0,city
2016,北秋田市,-106.0,-74.0,-7.0,-62.0,-19.0,-9.0,-44.0,-55.0,2.0,city
2016,にかほ市,-80.0,-64.0,-47.0,-32.0,-13.0,-20.0,-48.0,-51.0,-27.0,city
2016,仙北市,-80.0,-66.0,-16.0,-43.0,-28.0,-12.0,-37.0,-38.0,-4.0,city
2016,鹿角郡,-19.0,-10.0,-4.0,-10.0,1.0,-7.0,-9.0,-11.0,3.0,county
2016,北秋田郡,-7.0,-10.0,0.0,-5.0,-5.0,0.0,-2.0,-5.0,0.0,county
2016,山本郡,-65.0,-83.0,-27.0,-35.0,-23.0,-14.0,-30.0,-60.0,-13.0,county
2016,南秋田郡,5.0,-118.0,1.0,1.0,-53.0,9.0,4.0,-65.0,-8.0,county
2016,仙北郡,-30.0,-58.0,-9.0,-15.0,-9.0,-10.0,-15.0,-49.0,1.0,county
2016,雄勝郡,-58.0,-49.0,0.0,-29.0,-27.0,6.0,-29.0,-22.0,-6.0,county
2016,山形市,11.0,-259.0,71.0,-25.0,-109.0,75.0,36.0,-150.0,-4.0,city
2016,米沢市,-13.0,-222.0,-48.0,-21.0,-64.0,-40.0,8.0,-158.0,-8.0,city
2016,鶴岡市,-224.0,-282.0,-19.0,-90.0,-154.0,-14.0,-134.0,-128.0,-5.0,city
2016,酒田市,-335.0,-50.0,49.0,-192.0,-10.0,17.0,-143.0,-40.0,32.0,city
